最后更新时间,地区,所属地区,现有确诊人数,累计确诊人数,累计治愈人数,累计死亡人数,新增确诊
2021-08-21 13:06:03,黄山,安徽,0,9,9,0,0
2021-08-21 13:06:03,安庆,安徽,0,83,83,0,0
2021-08-21 13:06:03,铜陵,安徽,0,29,29,0,0
2021-08-21 13:06:03,淮北,安徽,0,27,27,0,0
2021-08-21 13:06:03,马鞍山,安徽,0,38,38,0,0
2021-08-21 13:06:03,淮南,安徽,0,27,27,0,0
2021-08-21 13:06:03,蚌埠,安徽,0,160,155,5,0
2021-08-21 13:06:03,芜湖,安徽,0,34,34,0,0
2021-08-21 13:06:03,境外输入,江西,0,6,6,0,0
2021-08-21 13:06:03,南昌,江西,0,231,231,0,0
2021-08-21 13:06:03,新余,江西,0,129,129,0,0
2021-08-21 13:06:03,赣州,江西,0,74,73,1,0
2021-08-21 13:06:03,九江,江西,0,116,116,0,0
2021-08-21 13:06:03,上饶,江西,0,123,123,0,0
2021-08-21 13:06:03,抚州,江西,0,72,72,0,0
2021-08-21 13:06:03,吉安,江西,0,22,22,0,0
2021-08-21 13:06:03,萍乡,江西,0,33,33,0,0
2021-08-21 13:06:03,宜春,江西,0,106,106,0,0
2021-08-21 13:06:03,鹰潭,江西,0,18,18,0,0
2021-08-21 13:06:03,景德镇,江西,0,6,6,0,0
2021-08-21 13:06:03,赣江新区,江西,0,1,1,0,0
